Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,ВКонтакте,WhatsApp,Viber,Telegram,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Деликатеска,устричный бар-гастроном,Кафе; Доставка еды; Быстрое питание; Бары; Рыба и морепродукты,"улица Архитектора Щусева, 4 к1",1 этаж,115432,,Даниловский,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.9,36,89917271660,,mail@delikateska.ru,,http://delikateska.ru,http://dzen.ru/delikateska,http://rutube.ru/channel/23890568,https://vk.com/delikateska,,,https://t.me/delikateska_ru,70000001090163720,55.697829,37.633577,70030076199654883,,,13,70000001100793064,Деликатеска,устричный бар-гастроном,Доставка еды,fastfood,5,23,2026-07-01T21:36:23Z,,0,32,https://2gis.com/firm/70000001090163720,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Му-Му,кафе,Кафе; Доставка еды; Быстрое питание; Кулинарии; Столовые; Кейтеринг,"Манежная площадь, 1 ст2",-2 этаж; Средний уровень,125009,,Тверской,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,1070,89851298276,,dostavka@cafemumu.ru,fastland@cafemumu.ru,http://cafemumu.ru,,,https://vk.com/cafemumu,https://wa.me/74957818781,,https://t.me/mumuchatbot,70000001007179642,55.755301,37.614586,4504235282987293,Охотный ряд,4504694860765008,18,4504136498368318,Му-Му,кафе,Кафе,fastfood,6,32,2026-07-04T19:01:23Z,,0,32,https://2gis.com/firm/70000001007179642,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Дублинец,ирландский паб,Кафе; Бары,"Никольская улица, 10",2 этаж,109012,,Тверской,Москва,,Москва,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-24:00,+03:00,4.8,163,84959660906,,irishman@dublinerpub.ru,,http://dublinerpub.ru,,,https://vk.com/dublinerpub,,,,70000001035840049,55.757686,37.624549,4504235282744992,Никольская Плаза,4504694886156774,2,70000001035840048,Дублинец,ирландский паб,Бары,bar,2,36,2026-06-16T17:47:07Z,,0,32,https://2gis.com/firm/70000001035840049,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Шон О`Нилл,ирландский паб,Кафе; Бары,"улица Кузнецкий Мост, 11 ст1","1, мансардный этаж",107031,,Мещанский,Москва,,Москва,Россия,Пн: 12:00-24:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-24:00,+03:00,4.8,304,84951530966,,,,http://oneillspub.ru,,,https://vk.com/seanoneillpub,,,,70000001023156072,55.76204,37.621858,4504235282761402,,,1,70000001023156071,Шон О`Нилл,ирландский паб,Бары,bar,2,40,2026-06-01T16:38:30Z,,0,32,https://2gis.com/firm/70000001023156072,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Мегрелия,ресторан грузинской кухни,Кафе; Рестораны; Доставка еды; Банкетные залы,"улица Большие Каменщики, 1",1 этаж,109044,,Таганский,Москва,,Москва,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-23:00,+03:00,4.8,491,89251132311,,info@megrelia.ru,,http://megrelia.ru,,,https://vk.com/megrelia_rest,https://wa.me/79251132311,viber://chat/?number=79251132311,https://t.me/+79251132311,70000001041081959,55.739787,37.654053,4504235282697123,,,3,70000001042709619,Мегрелия,ресторан грузинской кухни,Рестораны,food_restaurant,4,51,2026-05-12T11:43:49Z,,0,32,https://2gis.com/firm/70000001041081959,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Special,кофейня,Кафе; Кофейни,"Сельскохозяйственная улица, вл35 к6",,129323,,Останкинский,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,0.0,1,89151258503,,,,http://onespecial.ru/,,,,,,,70000001114794591,55.853864,37.623471,70030076195138420,,,1,70000001115608348,Special,кофейня,Кофейни,cafe,2,4,2026-06-16T06:55:17Z,,0,32,https://2gis.com/firm/70000001114794591,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Академия,кафе-пиццерия,Кафе; Доставка еды; Пиццерии,"Бутиковский переулок, 7",1 этаж,119034,,Хамовники,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,5.0,170,84954094047,84957374047,butk.manager@academiya.info,,http://academiya.ru,,,,,,,4504127908574153,55.737948,37.601916,4504235282774400,БЦ Бутик-Офис,,5,4504136498283646,Академия,кафе-пиццерия,Кафе,pizza,3,50,2026-06-23T11:46:28Z,,0,32,https://2gis.com/firm/4504127908574153,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Майкл Коллинз,ирландский паб,Кафе; Бары; Доставка еды,"Цветной бульвар, 21 ст2",цокольный этаж,127051,,Тверской,Москва,,Москва,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-24:00 (служба доставки: пн-вс 12:00-22:00),+03:00,4.9,182,84951659008,,general@collinspub.ru,,http://collinspub.ru,,,https://vk.com/collinspubmoscow,,,,70000001035056426,55.771949,37.62017,4504235282985316,,,1,70000001035056425,Майкл Коллинз,ирландский паб,Бары,bar,3,32,2025-12-03T17:42:01Z,,0,32,https://2gis.com/firm/70000001035056426,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Мустафа Кебаб,бистро,Кафе; Быстрое питание; Доставка еды,"Большая Татарская улица, 24",1 этаж,115184,,Замоскворечье,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.1,102,89014175703,,info@mustafakebab.ru,,http://mustafakebab.ru,,,https://vk.com/mustafa_kebab,,,,70000001034780023,55.740055,37.632885,4504235282701714,,,1,70000001034780022,Мустафа Кебаб,бистро,Быстрое питание,fastfood,3,28,2026-06-24T18:13:59Z,,0,32,https://2gis.com/firm/70000001034780023,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Dizengof/99,кафе,Кафе,"Покровский бульвар, 8 ст1а",1 этаж,109028,,Басманный,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00,+03:00,5.0,1829,89295698225,,dizengof99.marketing@gmail.com,,http://t.me/shabbatnonstop,,,,,,https://t.me/shabbatnonstop,70000001031788844,55.757196,37.646907,4504235282744190,,,6,70000001021034069,Dizengof/99,кафе,Кафе,cafe,1,23,2026-06-09T15:54:27Z,,0,32,https://2gis.com/firm/70000001031788844,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
